index,id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
7667,61986,2018-12-20 12:05:05,Stray,0,H18121743,,Cammie,Dutch,White and Black,House Rabbit,1 year 3 months.,Female,Stray side Men`s restroom-Use for small animal holding-non-adoptable,2019-03-27 00:00:00,Transfer,0.0,,Stray,,Court Order/ Legal,0,0,0
7668,61987,2018-12-20 12:03:59,Incompatible with owner lifestyle,0,C18121745,981020029728542,Mister,Domestic Short Hair,Brown and Black,Cat,4 years 1 month.,Male,Adoptable Cat Big Colony,2019-02-01 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7669,61988,2018-12-20 12:33:57,Incompatible with owner lifestyle,0,C18121746,0A107A115F,Ellie,Domestic Long Hair,Grey,Cat,11 years 2 months.,Female,Adoptable Cat Kennels,2019-01-04 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7670,61989,2018-12-20 13:50:40,Stray,0,D18121744,981020015448669,Brewster,Shih Tzu/Poodle,Black and White,Dog,5 years 0 months.,Male,Dog room A,2018-12-20 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7671,61990,2018-12-20 13:50:40,Stray,0,D18121745,981020025664111,Coco,Heeler,Red and White,Dog,1 year 6 months.,Female,Dog room A,2018-12-20 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7672,61991,2018-12-20 14:47:05,Unable to Afford,0,D18121747,981020025655848,Shadow,Husky,White,Dog,2 years 9 months.,Male,Adoptable Dogs,2018-12-31 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7673,61992,2018-12-20 15:38:16,Incompatible with owner lifestyle,0,D18121748,981020029043079,Rocks,Cattle Dog,Black merle,Dog,1 year 2 months.,Male,Adoptable Dogs,2019-01-07 00:00:00,Adoption,0.0,2019-01-08 00:00:00,Incompatible with other pets,,Court Order/ Legal,0,0,0
7674,61992,2018-12-20 15:38:16,Incompatible with owner lifestyle,0,D18121748,981020029043079,Rocks,Cattle Dog,Black merle,Dog,1 year 2 months.,Male,Adoptable Dogs,2019-01-11 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7675,61993,2018-12-21 12:07:56,Incompatible with owner lifestyle,0,D18121749,981020015421067,Sissy,Terrier,Red and Black,Dog,4 years 5 months.,Female,Adoptable Dogs,2018-12-31 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7676,61994,2018-12-21 15:45:14,Stray,0,C1812805,981020029320247,Orange You Glad I Didn`t Say Banana,Domestic Short Hair,Orange,Cat,4 years 4 months.,Male,Adoptable Cat Kennels,2019-02-19 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7677,61995,2018-12-21 17:47:00,Owner Deceased,0,C18121750,981020029729448,Monsieur Handsome,Domestic Medium Hair,Black and White,Cat,10 months.,Male,Adoptable Cat Middle Colony,2019-01-24 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7678,61996,2018-12-21 17:47:00,Owner Deceased,0,C18121751,981020029073800,Lord Gorgeous,Domestic Medium Hair,Black and Brown,Cat,1 year 5 months.,Male,Adoptable Cat Small Colony,2019-01-07 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7679,61997,2018-12-21 17:47:00,Owner Deceased,0,C18121752,981020029076765,Madame Stunning,Domestic Medium Hair,Black and Brown,Cat,1 year 5 months.,Female,Adoptable Cat Big Colony,2019-01-29 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
